name,death_date,age,death_location,death_cause,year,country,state
Scott La Rock,1987-08-27,25,"New York City, New York, U.S.",Shooting,1987,USA, New York
Paul C,1989-07-17,24,"New York City, New York, U.S.",Shooting,1989,USA, New York
"Danny ""D-Boy"" Rodriguez",1990-10-06,22,"Dallas, Texas, U.S.",Shooting,1990,USA, Texas
Charizma,1993-12-16,20,"Milpitas, California, U.S.",Shooting,1993,USA, California
Stretch,1995-11-30,27,"New York City, New York, U.S.",Shooting,1995,USA, New York
Seagram,1996-07-31,26,"Oakland, California, U.S.",Shooting,1996,USA, California
Tupac Shakur,1996-09-13,25,"Las Vegas, Nevada, U.S.",Drive by shooting,1996,USA, Nevada
Yaki Kadafi,1996-11-10,19,"Orange, New Jersey, U.S.",Shooting,1996,USA, New Jersey
The Notorious B.I.G.,1997-03-09,24,"Los Angeles, California, U.S.",Drive by shooting,1997,USA, California
Fat Pat,1998-02-03,27,"Houston, Texas, U.S.",Shooting,1998,USA, Texas
Big L,1999-02-15,24,"New York City, New York, U.S.",Shooting,1999,USA, New York
Freaky Tah,1999-03-28,27,"New York City, New York, U.S.",Shooting,1999,USA, New York
DJ Uncle Al,2001-09-10,32,"Miami, Florida, U.S.",Shooting,2001,USA, Florida
Jam Master Jay,2002-10-30,37,"New York City, New York, U.S.",Shooting,2002,USA, New York
Sabotage,2003-01-24,29,"São Paulo, São Paulo, Brazil",Shooting,2003,Brazil, São Paulo
Camoflauge,2003-05-19,21,"Savannah, Georgia, U.S.",Shooting,2003,USA, Georgia
Half a Mill,2003-10-24,30,"New York City, New York, U.S.",Shooting,2003,USA, New York
Soulja Slim,2003-11-26,26,"New Orleans, Louisiana, U.S.",Shooting,2003,USA, Louisiana
Mac Dre,2004-11-01,34,"Kansas City, Missouri, U.S.",Shooting,2004,USA, Missouri
Blade Icewood,2005-04-19,28,"Detroit, Michigan, U.S.",Shooting,2005,USA, Michigan
Proof,2006-04-11,32,"Detroit, Michigan, U.S.",Shooting,2006,USA, Michigan
Big Hawk,2006-05-01,36,"Houston, Texas, U.S.",Shooting,2006,USA, Texas
VL Mike,2008-04-20,32,"New Orleans, Louisiana, U.S.",Shooting,2008,USA, Louisiana
Dolla,2009-05-18,21,"Los Angeles, California, U.S.",Shooting,2009,USA, California
Lele,2010-07-01,23,"Trujillo Alto, Puerto Rico",Shooting,2010,Puerto Rico,Trujillo Alto
Magnolia Shorty,2010-12-20,28,"New Orleans, Louisiana, U.S.",Shooting,2010,USA, Louisiana
Bad News Brown,2011-02-11,33,"Montreal, Quebec, Canada",Unspecified violence,2011,Canada, Quebec
Adán Zapata,2012-06-01,21,"San Nicolás, Nuevo León, Mexico",Shooting,2012,Mexico, Nuevo León
Lil Phat,2012-06-07,19,"Sandy Springs, Georgia, U.S.",Shooting,2012,USA, Georgia
MC Daleste,2013-07-07,20,"Paulínia, São Paulo, Brazil",Shooting,2013,Brazil, São Paulo
Pavlos Fyssas,2013-09-18,34,"Keratsini, Athens, Greece",Stabbing,2013,Greece, Athens
Depzman,2013-09-21,18,"Birmingham, West Midlands, England",Stabbing,2013,England, West Midlands
Doe B,2013-12-28,22,"Montgomery, Alabama, U.S.",Shooting,2013,USA, Alabama
The Jacka,2015-02-02,37,"Oakland, California, U.S.",Shooting,2015,USA, California
Flabba,2015-03-09,37,"Alexandra, Gauteng, South Africa",Stabbing,2015,South Africa, Gauteng
Chinx Drugz,2015-05-17,31,"New York City, New York, U.S.",Shooting,2015,USA, New York
Bankroll Fresh,2016-03-04,28,"Atlanta, Georgia, U.S.",Shooting,2016,USA, Georgia
3-2,2016-11-10,44,"Houston, Texas, U.S.",Shooting,2016,USA, Texas
XXXTentacion,2018-06-18,20,"Deerfield Beach, Florida, U.S.",Shooting,2018,USA, Florida
Jimmy Wopo,2018-06-18,21,"Pittsburgh, Pennsylvania, U.S.",Shooting,2018,USA, Pennsylvania
Smoke Dawg,2018-06-30,21,"Toronto, Ontario, Canada",Shooting,2018,Canada, Ontario
Young Greatness,2018-10-29,34,"New Orleans, Louisiana, U.S.",Shooting,2018,USA, Louisiana
Feis,2019-01-01,32,"Rotterdam, Netherlands",Shooting,2019,Netherlands,Rotterdam
Kevin Fret,2019-01-10,24,"Río Piedras, San Juan, Puerto Rico",Shooting,2019,Puerto Rico, San Juan
Nipsey Hussle,2019-03-31,33,"Los Angeles, California, U.S.",Shooting,2019,USA, California
Pop Smoke,2020-02-19,20,"Los Angeles, California, U.S.",Shooting during home invasion,2020,USA, California
Houdini,2020-05-26,21,"Toronto, Ontario, Canada",Shooting,2020,Canada, Ontario
Huey,2020-06-25,31,"Kinloch, Missouri, U.S.",Shooting,2020,USA, Missouri
King Von,2020-11-06,26,"Atlanta, Georgia, U.S.",Shooting,2020,USA, Georgia
MO3,2020-11-11,28,"Dallas, Texas, U.S.",Shooting,2020,USA, Texas
Einár,2021-10-21,19,"Stockholm, Sweden",Shooting,2021,Sweden,Stockholm
Young Dolph,2021-11-17,36,"Memphis, Tennessee, U.S.",Shooting,2021,USA, Tennessee
Drakeo the Ruler,2021-12-19,28,"Los Angeles, California, U.S.",Stabbing,2021,USA, California
Snootie Wild,2022-02-27,36,"Houston, Texas, U.S.",Shooting,2022,USA, Texas
Archie Eversole,2022-04-05,37,"Decatur, Georgia, U.S.",Shooting,2022,USA, Georgia
Sidhu Moose Wala,2022-05-29,28,"Mansa, Punjab, India",Shooting,2022,India, Punjab
Trouble,2022-06-05,34,"Atlanta, Georgia, U.S.",Shooting during home invasion,2022,USA, Georgia
JayDaYoungan,2022-07-27,24,"Bogalusa, Louisiana, U.S.",Shooting,2022,USA, Louisiana
PnB Rock,2022-09-12,30,"Los Angeles, California, U.S.",Shooting,2022,USA, California
Takeoff,2022-11-01,28,"Houston, Texas, U.S.",Shooting,2022,USA, Texas
